especies,registros BHRD,Hábito,ID,SpecieName,Family,Genus,Specific.Epiteth,Seed.type,Sind,fdiam,flen,seeddiam,seedlen,wooden,Tre.size.max,scientificName,id_bhrd,id_flora,scientific.name,accepted.name,family,taxon.rank,taxon.status,search.str,threat.status,notes,original.search,life.form,habitat,vernacular.name,occurrence,establishment,arvore_life.form,Arbusto_life.form,LVT_life.form,Subarbusto_life.form,suculenta_life.form,Terricola_habitat,Rupicola_habitat,Hemiepifita_habitat
Erythroxylum subrotundum,20,Arbusto|Árvore,577,Erythroxylum subrotundum,Erythroxylaceae,Erythroxylum,subrotundum,recalcitrant,zoochoric,"3,6","6,2",NA,NA,NA,8,Erythroxylum subrotundum,sp_0307,17436,Erythroxylum subrotundum A.St.-Hil.,NA,Erythroxylaceae,species,accepted,Erythroxylum subrotundum,NA,,Erythroxylum subrotundum,Arbusto|arvore,Terricola|Rupicola,NA,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-PB|BR-PE|BR-RJ|BR-RN|BR-SE,native,"0,5","0,5",0,0,0,"0,5","0,5",0
Solanum granulosoleprosum,20,Árvore,1729,Solanum granulosoleprosum,Solanaceae,Solanum,granulosoleprosum,orthodox,zoochoric,11,NA,NA,NA,"0,4",35,Solanum granulosoleprosum,sp_0321,14775,Solanum granulosoleprosum Dunal,NA,Solanaceae,species,accepted,Solanum granulosoleprosum,LC,,Solanum granulosoleprosum,arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Inga vulpina,20,Árvore,893,Inga vulpina,Fabaceae,Inga,vulpina,recalcitrant,zoochoric,23,4,NA,NA,NA,5,Inga vulpina,sp_0313,18683,Inga vulpina Mart. ex Benth.,NA,Fabaceae,species,accepted,Inga vulpina,NA,,Inga vulpina,arvore,Terricola,ingi¡ bugiu/PORTUGUES/Santa Catarina | ingi¡ banana/PORTUGUES/Minas Gerais,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Miconia corallina,20,Árvore,1117,Miconia corallina,Melastomataceae,Miconia,corallina,orthodox,zoochoric,"2,8","2,5",NA,NA,NA,3,Miconia corallina,sp_0316,30717,Miconia corallina Spring,NA,Melastomataceae,species,accepted,Miconia corallina,NA,,Miconia corallina,arvore,Terricola,NA,BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,0,0,0
Inga cylindrica,20,Árvore,870,Inga cylindrica,Fabaceae,Inga,cylindrica,recalcitrant,zoochoric,15,15,"5,18","6,84","0,48",30,Inga cylindrica,sp_0312,22999,Inga cylindrica (Vell.) Mart.,NA,Fabaceae,species,accepted,Inga cylindrica,NA,,Inga cylindrica,arvore,Terricola,ingi¡ feijao/PORTUGUES/Minas Gerais | ingarana/PORTUGUES/Mato Grosso | inga xixica/PORTUGUES/Mato Grosso | ingi¡ branca/PORTUGUES/Pari¡,BR-AC|BR-AM|BR-BA|BR-GO|BR-MG|BR-MT|BR-PA|BR-RJ,native,1,0,0,0,0,0,0,0
Siparuna brasiliensis,19,Arbusto|Árvore,1706,Siparuna brasiliensis,Siparunaceae,Siparuna,brasiliensis,orthodox,zoochoric,"11,3","1,8",NA,NA,NA,7,Siparuna brasiliensis,sp_0347,14545,Siparuna brasiliensis (Spreng.) A.DC.,NA,Siparunaceae,species,accepted,Siparuna brasiliensis,LC,,Siparuna brasiliensis,Arbusto|arvore,Terricola,limoeiro-bravo/PORTUGUES/Sudeste | negra-mina/PORTUGUES/Sudeste,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Aniba firmula,19,Árvore,76,Aniba firmula,Lauraceae,Aniba,firmula,recalcitrant,zoochoric,20,25,"15,4",23,"0,56",20,Aniba firmula,sp_0326,8383,Aniba firmula (Nees & Mart.) Mez,NA,Lauraceae,species,accepted,Aniba firmula,NA,,Aniba firmula,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-MT|BR-PR|BR-RJ|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Hololepis pedunculata,19,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hololepis pedunculata,sp_0337,27098,Hololepis pedunculata (DC. ex Pers.) DC.,NA,Asteraceae,species,accepted,Hololepis pedunculata,LC,,Hololepis pedunculata,Arbusto|arvore,Terricola,NA,BR-MG,native,"0,5","0,5",0,0,0,0,0,0
Zeyheria tuberculosa,19,Árvore,2007,Zeyheria tuberculosa,Bignoniaceae,Zeyheria,tuberculosa,orthodox,abiotic,130,160,"35,7",50,"0,7485",20,Zeyheria tuberculosa,sp_0356,114468,Zeyheria tuberculosa (Vell.) Bureau ex Verl.,NA,Bignoniaceae,species,accepted,Zeyheria tuberculosa,VU,,Zeyheria tuberculosa,arvore,Terricola,buxo de boi/PORTUGUES/NA | culhoes de bode/PORTUGUES/NA | ipe branco/PORTUGUES/NA,BR-AL|BR-BA|BR-CE|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP,native,1,0,0,0,0,0,0,0
Bixa arborea,19,Arbusto|Árvore,168,Bixa arborea,Bixaceae,Bixa,arborea,orthodox,zoochoric,"12,33","18,95","3,9","4,4","0,39",11,Bixa arborea,sp_0329,5744,Bixa arborea Huber,NA,Bixaceae,species,accepted,Bixa arborea,LC,,Bixa arborea,Arbusto|arvore,Terricola,NA,BR-AC|BR-AM|BR-BA|BR-ES|BR-MT|BR-PA|BR-RJ|BR-RO|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Trichilia hirta,19,Árvore,1900,Trichilia hirta,Meliaceae,Trichilia,hirta,recalcitrant,zoochoric,6,"7,9",5,7,"0,6",14,Trichilia hirta,sp_0353,10006,Trichilia hirta L.,NA,Meliaceae,species,accepted,Trichilia hirta,LC,,Trichilia hirta,arvore,Terricola,NA,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,0,0,0
Bixa orellana,19,Arbusto|Árvore,169,Bixa orellana,Bixaceae,Bixa,orellana,orthodox,zoochoric,4,5,"3,5","3,7","0,34",5,Bixa orellana,sp_0330,5745,Bixa orellana L.,NA,Bixaceae,species,accepted,Bixa orellana,NA,,Bixa orellana,Arbusto|arvore,Terricola,urucum/PORTUGUES/Amazi´nia | colorau/PORTUGUES/NA,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Miconia pusilliflora,18,Arbusto|Árvore,1151,Miconia pusilliflora,Melastomataceae,Miconia,pusilliflora,orthodox,zoochoric,"3,5","2,8","1,7",NA,NA,12,Miconia pusilliflora,sp_0378,9754,Miconia pusilliflora (DC.) Naudin,NA,Melastomataceae,species,accepted,Miconia pusilliflora,NA,,Miconia pusilliflora,Arbusto|arvore,Terricola,NA,BR-AL|BR-BA|BR-ES|BR-MG|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Cordia sellowiana,18,Árvore,385,Cordia sellowiana,Boraginaceae,Cordia,sellowiana,orthodox,zoochoric,"16,42","10,29","13,31","8,3","0,793",14,Cordia sellowiana,sp_0363,16528,Cordia sellowiana Cham.,NA,Boraginaceae,species,accepted,Cordia sellowiana,NA,,Cordia sellowiana,arvore,Terricola,freijio branco/PORTUGUES/Acre,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SE|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
Siparuna reginae,18,Árvore,1708,Siparuna reginae,Siparunaceae,Siparuna,reginae,orthodox,zoochoric,7,11,"1,49",3,NA,22,Siparuna reginae,sp_0389,14550,Siparuna reginae (Tul.) A.DC.,NA,Siparunaceae,species,accepted,Siparuna reginae,LC,,Siparuna reginae,arvore,Terricola,Negramina/PORTUGUES/Sudeste,BR-AL|BR-AM|BR-BA|BR-CE|BR-ES|BR-MG|BR-MT|BR-PA|BR-RJ|BR-RO|BR-RR|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
Trembleya laniflora,18,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Trembleya laniflora,sp_0396,9982,Trembleya laniflora (D.Don) Cogn.,NA,Melastomataceae,species,accepted,Trembleya laniflora,NA,,Trembleya laniflora,Arbusto|arvore,Terricola,NA,BR-MG,native,"0,5","0,5",0,0,0,0,0,0
Casearia decandra,18,Arbusto|Árvore,259,Casearia decandra,Salicaceae,Casearia,decandra,orthodox,zoochoric,"5,8","8,6",6,"4,4","0,68",10,Casearia decandra,sp_0362,14367,Casearia decandra Jacq.,NA,Salicaceae,species,accepted,Casearia decandra,NA,,Casearia decandra,Arbusto|arvore,Terricola,"cabelo de cotia/PORTUGUES/Acre | brogotio/PORTUGUES/Alagoas | pau-vidro, cocao-branco, pau-vidro-branco/PORTUGUES/Bahia | espeto, espeto-vermelho, guai§atonga/PORTUGUES/Minas Gerais | caferana, limao, andorinha/PORTUGUES/Pari¡ | Cambroi©, guassatunga, guai§atonga-branca, pau-de-la/PORTUGUES/Parani¡ | carrapatinho/PORTUGUES/Pernambuco | assa-leitao/PORTUGUES/Rio de Janeiro | assa-peixe/PORTUGUES/Rio Grande do Norte | chi¡-de-bugre, guassatonga, cafi©-do-mato,guai§atonga/PORTUGUES/Roraima | cafezeiro-do-mato, cambroi©, guai§atunga/PORTUGUES/Santa Catarina | pau-de-espeto, vidro, anavinga/PORTUGUES/Sao Paulo",BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Almeidea rubra,18,Árvore,52,Almeidea rubra,Rutaceae,Almeidea,rubra,NA,zoochoric,6,2,NA,NA,NA,4,Almeidea rubra,sp_0357,277,Almeidea rubra A.St.-Hil.,NA,Rutaceae,species,accepted,Almeidea rubra,NA,,Almeidea rubra,arvore,Terricola,guamixira/PORTUGUES/Sudeste | teimosa/PORTUGUES/Sudeste,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ,native,1,0,0,0,0,0,0,0
Miconia calvescens,18,Arbusto|Árvore,1110,Miconia calvescens,Melastomataceae,Miconia,calvescens,orthodox,zoochoric,"3,4","4,6",2,NA,"0,42",12,Miconia calvescens,sp_0377,9679,Miconia calvescens DC.,NA,Melastomataceae,species,accepted,Miconia calvescens,NA,,Miconia calvescens,Arbusto|arvore,Terricola,NA,BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-RJ|BR-RO|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Dendropanax cuneatus,18,Árvore,490,Dendropanax cuneatus,Araliaceae,Dendropanax,cuneatus,intermediate,zoochoric,"5,6",8,"2,9","4,2",NA,14,Dendropanax cuneatus,sp_0366,5105,Dendropanax cuneatus (DC.) Decne. & Planch.,NA,Araliaceae,species,accepted,Dendropanax cuneatus,LC,,Dendropanax cuneatus,arvore,Terricola,NA,BR-AC|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
Bathysa australis,18,Arbusto|Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bathysa australis,sp_0359,13835,Bathysa australis (A.St.-Hil.) K.Schum.,NA,Rubiaceae,species,accepted,Bathysa australis,LC,,Bathysa australis,Arbusto|arvore,Terricola,pau-de-colher/PORTUGUES/Minas Gerais | quina-do-mato/PORTUGUES/Rio de Janeiro | fumao/PORTUGUES/Sao Paulo | araribao/PORTUGUES/Sao Paulo | cauassu/PORTUGUES/Santa Catarina | quina-do-Parani¡/PORTUGUES/Santa Catarina | macuqueiro/PORTUGUES/Santa Catarina,BR-BA|BR-DF|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Miconia sellowiana,18,Árvore,1158,Miconia sellowiana,Melastomataceae,Miconia,sellowiana,orthodox,zoochoric,"2,4","2,3",NA,NA,"0,66",6,Miconia sellowiana,sp_0379,9764,Miconia sellowiana Naudin,NA,Melastomataceae,species,accepted,Miconia sellowiana,NA,,Miconia sellowiana,arvore,Terricola,NA,BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Croton urucurana,18,Árvore,437,Croton urucurana,Euphorbiaceae,Croton,urucurana,orthodox,abiotic,8,8,2,"3,3","0,528",15,Croton urucurana,sp_0365,17546,Croton urucurana Baill.,NA,Euphorbiaceae,species,accepted,Croton urucurana,NA,,Croton urucurana,arvore,Terricola,Pau-de-sangue/PORTUGUES/Nordeste | sangra-dâ€™i¡gua/PORTUGUES/centro-oeste | urucurana/PORTUGUES/sudeste,BR-AC|BR-AL|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
Ocotea odorifera,18,Árvore,1374,Ocotea odorifera,Lauraceae,Ocotea,odorifera,recalcitrant,zoochoric,"12,98","21,83","13,65","19,01","0,75",25,Ocotea odorifera,sp_0382,8476,Ocotea odorifera (Vell.) Rohwer,NA,Lauraceae,species,accepted,Ocotea odorifera,EN,,Ocotea odorifera,arvore,Terricola,canela sassafri¡s/PORTUGUES/sul e sudeste,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Psidium oblongatum,18,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psidium oblongatum,sp_0387,10876,Psidium oblongatum O.Berg,NA,Myrtaceae,species,accepted,Psidium oblongatum,NA,,Psidium oblongatum,arvore,Terricola,NA,BR-ES|BR-MG|BR-RJ,native,1,0,0,0,0,0,0,0
Lecythis pisonis,18,Árvore,956,Lecythis pisonis,Lecythidaceae,Lecythis,pisonis,orthodox,zoochoric,"27,5","17,05",30,58,"0,87",30,Lecythis pisonis,sp_0376,8561,Lecythis pisonis Cambess.,NA,Lecythidaceae,species,accepted,Lecythis pisonis,NA,,Lecythis pisonis,arvore,Terricola,castanheira de sapucaia/PORTUGUES/NA | sapucaia/PORTUGUES/NA,BR-AC|BR-AM|BR-BA|BR-ES|BR-MA|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-RO|BR-SP,native,1,0,0,0,0,0,0,0
Handroanthus ochraceus,18,Árvore,789,Handroanthus ochraceus,Bignoniaceae,Handroanthus,ochraceus,orthodox,abiotic,20,230,"11,5","15,3","0,94",14,Handroanthus ochraceus,sp_0370,114091,Handroanthus ochraceus (Cham.) Mattos,NA,Bignoniaceae,species,accepted,Handroanthus ochraceus,NA,,Handroanthus ochraceus,arvore,Terricola,NA,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
Solanum cernuum,18,Arbusto|Árvore,1725,Solanum cernuum,Solanaceae,Solanum,cernuum,orthodox,zoochoric,NA,NA,NA,NA,NA,5,Solanum cernuum,sp_0391,14746,Solanum cernuum Vell.,NA,Solanaceae,species,accepted,Solanum cernuum,NA,,Solanum cernuum,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Kuhlmanniodendron apterocarpum,18,Árvore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kuhlmanniodendron apterocarpum,sp_0373,4250,Kuhlmanniodendron apterocarpum (Kuhlm.) Fiaschi & Groppo,NA,Achariaceae,species,accepted,Kuhlmanniodendron apterocarpum,NA,,Kuhlmanniodendron apterocarpum,arvore,Terricola,NA,BR-ES,native,1,0,0,0,0,0,0,0
Erythrina verna,18,Árvore,548,Erythrina verna,Fabaceae,Erythrina,verna,orthodox,abiotic,NA,NA,5,12,NA,20,Erythrina verna,sp_0367,22969,Erythrina verna Vell.,NA,Fabaceae,species,accepted,Erythrina verna,NA,,Erythrina verna,arvore,Terricola,mulungu/PORTUGUES/NA,BR-AC|BR-ES|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,0,0,0
Lecythis lurida,18,Árvore,955,Lecythis lurida,Lecythidaceae,Lecythis,lurida,orthodox,zoochoric,"89,45","74,75","17,5","33,3","0,895",18,Lecythis lurida,sp_0375,8560,Lecythis lurida (Miers) S.A.Mori,NA,Lecythidaceae,species,accepted,Lecythis lurida,LC,,Lecythis lurida,arvore,Terricola,Inhaiba e inhaiba-gigante/PORTUGUES/leste brasil | jarana/PORTUGUES/Amazi´nia,BR-BA|BR-ES|BR-MA|BR-MG|BR-PA|BR-PE|BR-PI|BR-RJ|BR-SE,native,1,0,0,0,0,0,0,0
Eugenia modesta,18,Arbusto|Árvore,635,Eugenia modesta,Myrtaceae,Eugenia,modesta,recalcitrant,zoochoric,"7,2","6,1",NA,NA,NA,NA,Eugenia modesta,sp_0368,10460,Eugenia modesta DC.,NA,Myrtaceae,species,accepted,Eugenia modesta,NA,,Eugenia modesta,Arbusto|arvore,Terricola,NA,BR-BA|BR-MG|BR-SE|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Maprounea guianensis,17,Árvore,1043,Maprounea guianensis,Euphorbiaceae,Maprounea,guianensis,orthodox,zoochoric,"3,2","3,5",3,3,"0,635966667",12,Maprounea guianensis,sp_0434,17614,Maprounea guianensis Aubl.,NA,Euphorbiaceae,species,accepted,Maprounea guianensis,NA,,Maprounea guianensis,arvore,Terricola,NA,BR-AC|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP,native,1,0,0,0,0,0,0,0
Prockia crucis,17,Arbusto|Árvore,1545,Prockia crucis,Salicaceae,Prockia,crucis,NA,zoochoric,9,10,"1,1","1,9","0,6",5,Prockia crucis,sp_0448,14390,Prockia crucis P.Browne ex L.,NA,Salicaceae,species,accepted,Prockia crucis,NA,,Prockia crucis,Arbusto|arvore,Terricola,NA,BR-AC|BR-AL|BR-BA|BR-CE|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-SC|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Hirtella gracilipes,17,Arbusto|Árvore,816,Hirtella gracilipes,Chrysobalanaceae,Hirtella,gracilipes,recalcitrant,zoochoric,5,"12,2",NA,NA,"0,85",6,Hirtella gracilipes,sp_0422,16799,Hirtella gracilipes (Hook.f.) Prance,NA,Chrysobalanaceae,species,accepted,Hirtella gracilipes,NA,,Hirtella gracilipes,Arbusto|arvore,Terricola,NA,BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-RJ|BR-RO|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Miconia cinnamomifolia,17,Arbusto|Árvore,1114,Miconia cinnamomifolia,Melastomataceae,Miconia,cinnamomifolia,orthodox,zoochoric,"2,54","3,51","0,3","0,4","0,73",22,Miconia cinnamomifolia,sp_0436,9688,Miconia cinnamomifolia (DC.) Naudin,NA,Melastomataceae,species,accepted,Miconia cinnamomifolia,NA,,Miconia cinnamomifolia,Arbusto|arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Machaerium nyctitans,17,Árvore,1014,Machaerium nyctitans,Fabaceae,Machaerium,nyctitans,orthodox,abiotic,18,47,6,16,"0,95",18,Machaerium nyctitans,sp_0430,29774,Machaerium nyctitans (Vell.) Benth.,NA,Fabaceae,species,accepted,Machaerium nyctitans,LC,,Machaerium nyctitans,arvore,Terricola,Jacarandi¡-bico-de-pato/PORTUGUES/NA | Tapa-tripa/PORTUGUES/NA,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Machaerium stipitatum,17,Árvore,1020,Machaerium stipitatum,Fabaceae,Machaerium,stipitatum,orthodox,abiotic,12,58,7,12,"0,84",15,Machaerium stipitatum,sp_0431,29781,Machaerium stipitatum Vogel,NA,Fabaceae,species,accepted,Machaerium stipitatum,NA,,Machaerium stipitatum,arvore,Terricola,Sapuvi¡/PORTUGUES/NA | Sapuvussu/PORTUGUES/NA | Farinha-seca/PORTUGUES/NA | Jacarandi¡-branco/PORTUGUES/NA,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,1,0,0,0,0,0,0,0
Annona dolabripetala,17,Árvore,83,Annona dolabripetala,Annonaceae,Annona,dolabripetala,intermediate,zoochoric,"3,8",5,"6,5",9,NA,6,Annona dolabripetala,sp_0408,110241,Annona dolabripetala Raddi,NA,Annonaceae,species,accepted,Annona dolabripetala,NA,,Annona dolabripetala,arvore,Terricola,Araticum/PORTUGUES/NA | Ata/PORTUGUES/NA | Araticiº/PORTUGUES/NA | Biribi¡ do mato/PORTUGUES/NA | Pinha do mato/PORTUGUES/NA,BR-BA|BR-MG|BR-PR|BR-RJ|BR-SP,native,1,0,0,0,0,0,0,0
Campomanesia laurifolia,17,Árvore,236,Campomanesia laurifolia,Myrtaceae,Campomanesia,laurifolia,recalcitrant,zoochoric,43,45,9,11,"0,76",20,Campomanesia laurifolia,sp_0413,10318,Campomanesia laurifolia Gardner,NA,Myrtaceae,species,accepted,Campomanesia laurifolia,LC,,Campomanesia laurifolia,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ,native,1,0,0,0,0,0,0,0
Ocotea divaricata,17,Árvore,1356,Ocotea divaricata,Lauraceae,Ocotea,divaricata,recalcitrant,zoochoric,NA,9,NA,8,NA,12,Ocotea divaricata,sp_0441,8456,Ocotea divaricata (Nees) Mez,NA,Lauraceae,species,accepted,Ocotea divaricata,NA,,Ocotea divaricata,arvore,Terricola,NA,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,native,1,0,0,0,0,0,0,0
Miconia ligustroides,17,Arbusto|Árvore,1137,Miconia ligustroides,Melastomataceae,Miconia,ligustroides,orthodox,zoochoric,"3,3",3,1,"1,3","0,75",5,Miconia ligustroides,sp_0437,9726,Miconia ligustroides (DC.) Naudin,NA,Melastomataceae,species,accepted,Miconia ligustroides,NA,,Miconia ligustroides,Arbusto|arvore,Terricola,NA,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PI|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,native,"0,5","0,5",0,0,0,0,0,0
Myrcia multiflora,17,Arbusto|Árvore,1258,Myrcia multiflora,Myrtaceae,Myrcia,multiflora,recalcitrant,zoochoric,"5,6","5,5","3,7","6,4","0,824",17,Myrcia multiflora,sp_0439,10730,Myrcia multiflora (Lam.) DC.,NA,Myrtaceae,species,accepted,Myrcia multiflora,NA,,Myrcia multiflora,Arbusto|arvore,Terricola,NA,BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Alseis floribunda,17,Árvore,54,Alseis floribunda,Rubiaceae,Alseis,floribunda,orthodox,abiotic,"1,87","8,68","0,5",4,"0,85",14,Alseis floribunda,sp_0403,13825,Alseis floribunda Schott,NA,Rubiaceae,species,accepted,Alseis floribunda,NA,,Alseis floribunda,arvore,Terricola,alma-da-serra/PORTUGUES/Santa Catarina | quina-de-sao-paulo/PORTUGUES/Sao Paulo | taruma/PORTUGUES/Rio de Janeiro,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP,native,1,0,0,0,0,0,0,0
Bowdichia virgilioides,17,Arbusto|Árvore,176,Bowdichia virgilioides,Fabaceae,Bowdichia,virgilioides,orthodox,abiotic,54,14,4,"6,3","0,825",16,Bowdichia virgilioides,sp_0412,29489,Bowdichia virgilioides Kunth,NA,Fabaceae,species,accepted,Bowdichia virgilioides,NT,,Bowdichia virgilioides,Arbusto|arvore,Terricola,NA,BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,native,"0,5","0,5",0,0,0,0,0,0
Xylopia sericea,17,Arbusto|Árvore,1986,Xylopia sericea,Annonaceae,Xylopia,sericea,intermediate,zoochoric,"14,6","20,5",5,8,"0,63",15,Xylopia sericea,sp_0459,110583,Xylopia sericea A.St.-Hil.,NA,Annonaceae,species,accepted,Xylopia sericea,NA,,Xylopia sericea,Arbusto|arvore,Terricola,Chapi©u de sol/PORTUGUES/NA | Embira/PORTUGUES/NA | Embira vermelha/PORTUGUES/NA | Pau de embira/PORTUGUES/NA | Pimenta/PORTUGUES/NA | Pimenta de macaco/PORTUGUES/NA | Pimenta dos negros/PORTUGUES/NA | Pimenteira/PORTUGUES/NA | Pindai­ba/PORTUGUES/NA | Pindai­ba branca/PORTUGUES/NA | Pindai­ba preta/PORTUGUES/NA | Semente de embira/PORTUGUES/NA | Tucaneiro/PORTUGUES/NA,BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RO|BR-RR,native,"0,5","0,5",0,0,0,0,0,0
Myrcia laruotteana,17,Árvore,1253,Myrcia laruotteana,Myrtaceae,Myrcia,laruotteana,recalcitrant,zoochoric,NA,NA,NA,NA,"0,72",7,Myrcia laruotteana,sp_0438,10715,Myrcia laruotteana Cambess.,NA,Myrtaceae,species,accepted,Myrcia laruotteana,NA,,Myrcia laruotteana,arvore,Terricola,NA,BR-DF|BR-ES|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-SC|BR-SP|BR-TO,native,1,0,0,0,0,0,0,0
